EventID,Category,Description,LogfileFull,LogfileShort
1,ApplicationCrashes,EMET Crash log,Application,Application
2,ApplicationCrashes,EMET Crash log,Application,Application
2,SoftwareAndServiceInstallation,Windows Update Package was successfully changed to the Installed state.,Setup,Setup
6,SoftwareAndServiceInstallation,New Kernel Filter Driver,System,System
19,SoftwareAndServiceInstallation,Installation successful: Windows successfully installed the following update: %1,Microsoft-Windows-WindowsUpdateClient/Operational,WindowsUpdateClient
20,WindowsUpdateErrors,Installation failure: Windows failed to install the following update with error %1: %2.,Microsoft-Windows-WindowsUpdateClient/Operational,WindowsUpdateClient
24,WindowsUpdateErrors,Uninstallation failure: Windows failed to uninstall the following update with error %1: %2,Microsoft-Windows-WindowsUpdateClient/Operational,WindowsUpdateClient
25,WindowsUpdateErrors,Automatic Updates Agent failed to check for updates with error %1.,Microsoft-Windows-WindowsUpdateClient/Operational,WindowsUpdateClient
31,WindowsUpdateErrors,Windows Update failed to download an update.,Microsoft-Windows-WindowsUpdateClient/Operational,WindowsUpdateClient
34,WindowsUpdateErrors,The Windows Update Client Core component failed to install a self-update with error %1.,Microsoft-Windows-WindowsUpdateClient/Operational,WindowsUpdateClient
35,WindowsUpdateErrors,The Windows Update Client Auxiliary component failed to install a self-update with error %1.,Microsoft-Windows-WindowsUpdateClient/Operational,WindowsUpdateClient
104,ClearingEventLogs,Event log was cleared,System,System
219,KernelDriveSigning,Failed kernel driver Loading,System,System
307,PrintingServices,Printing a Document,Microsoft-Windows-PrintService/Operational,PrintService
400,ExternalMediaDetection,Device was configured,Microsoft-Windows-Kernel-PnP/Device Configuration,KernelPnPDeviceConfiguration
410,ExternalMediaDetection,Device was started,Microsoft-Windows-Kernel-PnP/Device Configuration,KernelPnPDeviceConfiguration
800,SoftwareAndServiceInstallation,Summary of Software Activities,Microsoft-Windows-Application-Experience/Program-Inventory,ProgramInventory
865,ApplicationWhitelisting,Software Restriction Policy Event Access Disabled By Policy Default,Application,Application
866,ApplicationWhitelisting,Software Restriction Policy Event Access Disabled By Policy Path,Application,Application
867,ApplicationWhitelisting,Software Restriction Policy Event Access Disabled By Policy Publisher,Application,Application
